

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,3:17:10 PM,3432.09,3535.88,0.04,0.03,0.09,0.02,
5/31/2018,3:17:11 PM,3412.84,3765.98,0.05,0.03,0.04,0.02,
5/31/2018,3:17:12 PM,3265.14,3560.98,0.07,0.03,0.09,0.03,
5/31/2018,3:17:13 PM,3335.51,3685.56,0.06,0.04,0.05,0.03,
5/31/2018,3:17:14 PM,3452.37,3380.88,0.04,0.02,0.17,0.02,
5/31/2018,3:17:15 PM,3475.70,3287.29,0.03,0.03,0.04,0.02,
5/31/2018,3:17:16 PM,3386.49,3541.81,0.04,0.03,0.10,0.03,
5/31/2018,3:17:17 PM,3421.94,3739.88,0.05,0.04,0.09,0.02,
5/31/2018,3:17:18 PM,3408.74,3279.27,0.04,0.02,0.08,0.02,
5/31/2018,3:17:19 PM,3392.64,3916.47,0.04,0.04,0.03,0.03,
5/31/2018,3:17:20 PM,3287.16,3408.61,0.07,0.03,0.12,0.02,
5/31/2018,3:17:21 PM,3154.92,3358.18,0.10,0.03,0.10,0.02,
5/31/2018,3:17:22 PM,3514.84,3740.74,0.04,0.03,0.06,0.03,
5/31/2018,3:17:23 PM,3226.79,3555.58,0.06,0.02,0.09,0.02,
5/31/2018,3:17:24 PM,4357.69,4404.20,0.01,0.05,0.02,0.05,
5/31/2018,3:17:25 PM,3297.51,3442.54,0.07,0.03,0.33,0.02,
5/31/2018,3:17:26 PM,3273.55,3412.38,0.03,0.03,0.23,0.02,
5/31/2018,3:17:27 PM,3287.76,3619.95,0.06,0.03,0.04,0.03,
5/31/2018,3:17:28 PM,2937.81,3422.49,0.05,0.02,0.18,0.02,
5/31/2018,3:17:29 PM,3538.22,3334.15,0.03,0.05,0.12,0.02,
5/31/2018,3:17:30 PM,3043.54,3728.02,0.06,0.02,0.07,0.04,
5/31/2018,3:17:31 PM,3645.06,3460.96,0.03,0.03,0.14,0.02,
5/31/2018,3:17:32 PM,3495.70,3168.44,0.04,0.03,0.08,0.01,
5/31/2018,3:17:33 PM,3618.55,3521.85,0.03,0.05,0.16,0.03,
5/31/2018,3:17:34 PM,3151.37,3540.08,0.08,0.03,0.07,0.02,
5/31/2018,3:17:35 PM,3308.81,3465.65,0.06,0.04,0.10,0.02,
5/31/2018,3:17:36 PM,3526.28,3305.41,0.03,0.03,0.16,0.02,
5/31/2018,3:17:37 PM,3012.93,3379.80,0.08,0.02,0.12,0.02,
5/31/2018,3:17:38 PM,2924.99,3765.02,0.05,0.02,0.09,0.02,
5/31/2018,3:17:39 PM,3559.19,3232.89,0.04,0.04,0.10,0.01,
5/31/2018,3:17:40 PM,2941.89,3632.14,0.05,0.02,0.06,0.02,
5/31/2018,3:17:41 PM,3036.58,3389.36,0.08,0.02,0.37,0.01,
5/31/2018,3:17:42 PM,3342.79,3615.48,0.04,0.04,0.09,0.02,
5/31/2018,3:17:43 PM,3399.49,3879.28,0.06,0.02,0.04,0.04,
5/31/2018,3:17:44 PM,3157.88,3593.59,0.09,0.02,0.08,0.02,
5/31/2018,3:17:45 PM,3278.84,3214.20,0.05,0.03,0.11,0.02,
5/31/2018,3:17:46 PM,3376.63,3561.75,0.05,0.02,0.07,0.02,
5/31/2018,3:17:47 PM,3506.88,3536.22,0.03,0.03,0.09,0.03,
5/31/2018,3:17:48 PM,3286.15,3946.24,0.04,0.03,0.03,0.03,
5/31/2018,3:17:49 PM,3221.07,3550.76,0.06,0.02,0.05,0.03,
5/31/2018,3:17:50 PM,3384.79,3500.56,0.03,0.03,0.11,0.03,
5/31/2018,3:17:51 PM,3518.66,3530.54,0.03,0.04,0.10,0.02,
5/31/2018,3:17:52 PM,3411.16,3330.31,0.04,0.04,0.13,0.02,
5/31/2018,3:17:53 PM,3343.51,3583.20,0.04,0.02,0.11,0.02,
5/31/2018,3:17:54 PM,3393.47,3679.15,0.06,0.03,0.06,0.03,
5/31/2018,3:17:55 PM,3662.79,3698.67,0.03,0.03,0.05,0.03,
5/31/2018,3:17:56 PM,3455.01,3709.02,0.04,0.04,0.04,0.02,
5/31/2018,3:17:57 PM,3390.47,3257.10,0.03,0.03,0.07,0.02,
5/31/2018,3:17:58 PM,3030.66,3501.87,0.07,0.02,0.09,0.03,
5/31/2018,3:17:59 PM,3200.61,3675.76,0.10,0.02,0.05,0.02,
5/31/2018,3:18:00 PM,3471.40,3415.39,0.04,0.04,0.38,0.01,
5/31/2018,3:18:01 PM,2993.61,3306.65,0.15,0.02,0.05,0.02,
5/31/2018,3:18:02 PM,3645.83,3959.39,0.03,0.03,0.09,0.04,
5/31/2018,3:18:04 PM,3289.55,3438.42,0.06,0.03,0.07,0.03,
5/31/2018,3:18:05 PM,3503.93,3351.37,0.04,0.03,0.16,0.02,
5/31/2018,3:18:06 PM,3493.42,3202.26,0.04,0.03,0.07,0.02,
5/31/2018,3:18:07 PM,3251.28,3413.89,0.07,0.03,0.12,0.01,
5/31/2018,3:18:08 PM,3000.59,3401.65,0.07,0.02,0.12,0.02,
5/31/2018,3:18:09 PM,3438.10,3277.93,0.04,0.03,0.18,0.02,
5/31/2018,3:18:10 PM,3203.94,3785.87,0.06,0.03,0.04,0.03,
5/31/2018,3:18:11 PM,3267.61,3716.71,0.04,0.03,0.05,0.03,
5/31/2018,3:18:12 PM,3540.52,3918.04,0.04,0.03,0.04,0.03,
5/31/2018,3:18:13 PM,3543.49,3397.59,0.05,0.03,0.07,0.02,
5/31/2018,3:18:14 PM,3756.10,3624.23,0.02,0.05,0.07,0.02,
5/31/2018,3:18:15 PM,3292.43,3574.34,0.07,0.03,0.11,0.03,
5/31/2018,3:18:16 PM,3660.36,3609.95,0.03,0.03,0.06,0.03,
5/31/2018,3:18:17 PM,3220.23,3287.24,0.08,0.03,0.13,0.02,
5/31/2018,3:18:18 PM,3104.91,3474.16,0.10,0.02,0.17,0.03,
5/31/2018,3:18:19 PM,2844.36,3591.50,0.06,0.02,0.06,0.02,
5/31/2018,3:18:20 PM,3182.00,3445.45,0.07,0.02,0.13,0.02,
5/31/2018,3:18:21 PM,3591.05,3390.51,0.04,0.03,0.08,0.02,
5/31/2018,3:18:22 PM,3571.96,3231.72,0.03,0.04,0.04,0.02,
5/31/2018,3:18:23 PM,3457.01,3694.16,0.04,0.03,0.07,0.02,
5/31/2018,3:18:24 PM,3189.74,3609.38,0.09,0.02,0.11,0.03,
5/31/2018,3:18:25 PM,3109.49,3785.17,0.07,0.03,0.03,0.03,
5/31/2018,3:18:26 PM,3279.94,3399.89,0.06,0.03,0.10,0.02,
5/31/2018,3:18:27 PM,3336.74,3440.63,0.04,0.02,0.20,0.02,
5/31/2018,3:18:28 PM,3471.22,3314.42,0.04,0.05,0.13,0.02,
5/31/2018,3:18:29 PM,3358.67,3345.16,0.04,0.03,0.38,0.01,
5/31/2018,3:18:30 PM,3157.95,3399.19,0.09,0.03,0.21,0.01,
5/31/2018,3:18:31 PM,3143.23,3151.41,0.09,0.03,0.06,0.02,
5/31/2018,3:18:32 PM,3447.74,3221.25,0.04,0.02,0.12,0.02,
