

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,6:02:01 PM,3217.94,3542.20,4933.16,5088.70,0.01,0.02,0.01,0.02,
5/31/2018,6:02:02 PM,3284.35,3553.68,4925.17,5124.52,0.01,0.02,0.01,0.02,
5/31/2018,6:02:04 PM,3176.94,3511.45,4924.08,5100.10,0.01,0.02,0.01,0.02,
5/31/2018,6:02:05 PM,3364.46,3528.03,4918.75,5104.13,0.01,0.02,0.01,0.02,
5/31/2018,6:02:06 PM,3170.95,3477.63,4908.03,5122.25,0.01,0.02,0.02,0.02,
5/31/2018,6:02:07 PM,3307.79,3513.70,4921.94,5109.90,0.01,0.02,0.01,0.02,
5/31/2018,6:02:08 PM,3267.23,3509.30,4927.84,5121.28,0.01,0.02,0.01,0.02,
5/31/2018,6:02:10 PM,3206.43,3432.45,4932.07,5116.66,0.01,0.02,0.03,0.02,
5/31/2018,6:02:11 PM,3302.23,3516.35,4932.31,5114.67,0.01,0.03,0.01,0.02,
5/31/2018,6:02:12 PM,3213.54,3535.62,4907.33,5111.31,0.01,0.02,0.01,0.02,
5/31/2018,6:02:13 PM,3305.91,3555.22,4934.60,5103.31,0.01,0.03,0.01,0.02,
5/31/2018,6:02:14 PM,3226.69,3468.20,4931.81,5120.63,0.01,0.02,0.02,0.02,
5/31/2018,6:02:15 PM,3206.26,3392.76,4907.79,5126.31,0.01,0.02,0.04,0.02,
5/31/2018,6:02:16 PM,3289.04,3486.56,4925.76,5119.02,0.01,0.02,0.02,0.02,
5/31/2018,6:02:17 PM,3140.50,3518.02,4923.88,5115.03,0.01,0.03,0.01,0.02,
5/31/2018,6:02:18 PM,3151.16,3422.57,4922.65,5115.13,0.01,0.02,0.02,0.01,
5/31/2018,6:02:19 PM,3331.02,3527.66,4927.39,5100.87,0.01,0.03,0.01,0.02,
5/31/2018,6:02:20 PM,3325.00,3468.48,4919.01,5121.80,0.01,0.02,0.02,0.02,
5/31/2018,6:02:22 PM,3332.64,3508.73,4937.70,5116.03,0.01,0.02,0.01,0.02,
5/31/2018,6:02:23 PM,3293.50,3482.17,4937.39,5114.65,0.01,0.03,0.02,0.02,
5/31/2018,6:02:24 PM,3224.51,3567.68,4930.91,5110.70,0.01,0.02,0.01,0.02,
5/31/2018,6:02:25 PM,3235.83,3444.23,4930.30,5118.87,0.01,0.02,0.02,0.02,
5/31/2018,6:02:26 PM,3285.82,3581.17,4940.94,5117.84,0.01,0.02,0.01,0.02,
5/31/2018,6:02:27 PM,3193.18,3458.22,4934.06,5121.47,0.01,0.02,0.02,0.02,
5/31/2018,6:02:28 PM,3232.17,3447.58,4924.98,5127.80,0.01,0.02,0.02,0.02,
5/31/2018,6:02:29 PM,3210.63,3567.52,4932.64,5109.45,0.01,0.02,0.01,0.02,
5/31/2018,6:02:30 PM,3284.43,3439.67,4929.21,5122.40,0.01,0.02,0.02,0.01,
5/31/2018,6:02:32 PM,3318.43,3478.71,4938.44,5112.06,0.01,0.03,0.01,0.02,
5/31/2018,6:02:33 PM,3198.77,3391.06,4937.83,5119.30,0.01,0.02,0.03,0.01,
5/31/2018,6:02:34 PM,3298.28,3487.91,4925.38,5127.37,0.01,0.02,0.02,0.02,
5/31/2018,6:02:35 PM,3237.29,3444.84,4927.44,5121.12,0.01,0.02,0.02,0.02,
5/31/2018,6:02:36 PM,3254.81,3521.51,4928.79,5118.45,0.01,0.02,0.01,0.02,
5/31/2018,6:02:37 PM,3238.19,3383.43,4932.02,5135.43,0.01,0.03,0.04,0.01,
5/31/2018,6:02:38 PM,3300.40,3481.20,4925.93,5126.31,0.01,0.03,0.01,0.02,
5/31/2018,6:02:39 PM,3337.59,3540.90,4929.82,5090.71,0.01,0.02,0.01,0.02,
5/31/2018,6:02:40 PM,3209.75,3616.62,4928.69,5096.08,0.01,0.02,0.01,0.02,
5/31/2018,6:02:42 PM,3254.78,3555.28,4924.35,5121.36,0.01,0.02,0.01,0.02,
5/31/2018,6:02:43 PM,3364.89,3409.55,4932.76,5118.16,0.01,0.02,0.03,0.01,
5/31/2018,6:02:44 PM,3357.86,3516.60,4921.62,5120.15,0.01,0.02,0.01,0.02,
5/31/2018,6:02:45 PM,3272.61,3437.35,4917.21,5107.22,0.01,0.02,0.02,0.02,
5/31/2018,6:02:46 PM,3279.42,3526.95,4914.31,5099.70,0.01,0.02,0.01,0.02,
5/31/2018,6:02:47 PM,3304.78,3484.80,4941.29,5111.14,0.01,0.03,0.02,0.02,
5/31/2018,6:02:48 PM,3248.51,3543.61,4932.68,5104.55,0.01,0.02,0.01,0.02,
5/31/2018,6:02:49 PM,3164.13,3479.77,4928.49,5132.19,0.01,0.02,0.02,0.02,
5/31/2018,6:02:50 PM,3161.07,3489.20,4927.16,5123.44,0.01,0.03,0.01,0.02,
5/31/2018,6:02:51 PM,3149.46,3581.04,4930.96,5106.25,0.01,0.02,0.01,0.02,
5/31/2018,6:02:52 PM,3161.08,3539.74,4920.64,5119.01,0.01,0.02,0.01,0.02,
5/31/2018,6:02:53 PM,3215.45,3451.14,4937.32,5120.35,0.01,0.02,0.02,0.02,
5/31/2018,6:02:54 PM,3302.19,3414.61,4915.59,5122.03,0.01,0.02,0.03,0.01,
5/31/2018,6:02:56 PM,3150.97,3482.40,4921.64,5115.82,0.01,0.02,0.01,0.02,
5/31/2018,6:02:57 PM,3189.31,3534.15,4922.19,5108.49,0.01,0.02,0.01,0.02,
5/31/2018,6:02:58 PM,3206.95,3545.46,4917.01,5113.94,0.01,0.02,0.01,0.02,
5/31/2018,6:02:59 PM,3267.52,3547.05,4928.81,5108.80,0.01,0.02,0.02,0.02,
5/31/2018,6:03:00 PM,3302.38,3432.29,4929.34,5123.50,0.01,0.02,0.04,0.02,
5/31/2018,6:03:01 PM,3295.73,3472.34,4931.11,5115.40,0.01,0.02,0.02,0.02,
5/31/2018,6:03:02 PM,3186.61,3402.83,4947.49,5125.78,0.01,0.02,0.04,0.02,
5/31/2018,6:03:03 PM,3207.53,3519.35,4932.96,5112.21,0.01,0.02,0.02,0.02,
5/31/2018,6:03:04 PM,3184.45,3502.25,4914.06,5106.02,0.01,0.02,0.02,0.02,
5/31/2018,6:03:05 PM,3335.13,3514.17,4926.54,5105.94,0.01,0.02,0.02,0.02,
5/31/2018,6:03:07 PM,3217.36,3399.92,4924.47,5116.07,0.01,0.02,0.04,0.02,
5/31/2018,6:03:08 PM,3285.51,3530.60,4923.15,5108.11,0.01,0.02,0.01,0.02,
5/31/2018,6:03:09 PM,3244.29,3517.46,4927.93,5112.00,0.01,0.02,0.02,0.02,
5/31/2018,6:03:10 PM,3318.89,3502.35,4931.95,5108.95,0.01,0.02,0.01,0.02,
5/31/2018,6:03:11 PM,3211.59,3468.47,4925.15,5117.25,0.01,0.02,0.02,0.02,
5/31/2018,6:03:12 PM,3257.08,3533.14,4924.77,5116.66,0.01,0.02,0.01,0.02,
5/31/2018,6:03:13 PM,3298.05,3419.49,4943.15,5122.77,0.01,0.02,0.03,0.01,
5/31/2018,6:03:14 PM,3235.37,3472.48,4930.47,5120.51,0.01,0.02,0.02,0.02,
5/31/2018,6:03:15 PM,3365.44,3471.60,4937.13,5099.85,0.01,0.02,0.02,0.02,
5/31/2018,6:03:16 PM,3174.79,3416.38,4930.07,5105.14,0.01,0.02,0.03,0.02,
5/31/2018,6:03:18 PM,3301.73,3452.80,4927.83,5116.80,0.01,0.02,0.02,0.02,
5/31/2018,6:03:19 PM,3254.04,3406.15,4922.29,5122.86,0.01,0.02,0.03,0.01,
5/31/2018,6:03:20 PM,3257.45,3515.03,4939.00,5103.04,0.01,0.02,0.01,0.02,
5/31/2018,6:03:21 PM,3207.07,3504.80,4934.50,5097.51,0.01,0.02,0.01,0.02,
5/31/2018,6:03:22 PM,3281.50,3451.36,4936.30,5098.14,0.01,0.03,0.02,0.02,
5/31/2018,6:03:23 PM,3138.46,3415.10,4931.77,5108.66,0.01,0.02,0.04,0.02,
5/31/2018,6:03:25 PM,3260.50,3460.99,4922.14,5105.28,0.01,0.02,0.02,0.02,
5/31/2018,6:03:26 PM,3267.40,3496.06,4906.73,5116.47,0.01,0.02,0.02,0.02,
5/31/2018,6:03:27 PM,3113.13,3484.91,4927.27,5110.76,0.01,0.02,0.01,0.02,
5/31/2018,6:03:28 PM,3221.51,3452.02,4922.56,5118.46,0.01,0.02,0.02,0.02,
5/31/2018,6:03:29 PM,3213.15,3528.13,4932.24,5096.53,0.01,0.03,0.01,0.02,
5/31/2018,6:03:30 PM,3297.43,3611.70,4938.56,5106.25,0.01,0.02,0.01,0.02,
5/31/2018,6:03:31 PM,3279.60,3483.93,4929.78,5119.34,0.01,0.02,0.01,0.02,
5/31/2018,6:03:32 PM,3229.96,3459.52,4922.86,5115.82,0.01,0.02,0.01,0.02,
5/31/2018,6:03:33 PM,3222.89,3488.18,4925.85,5117.44,0.01,0.02,0.02,0.02,
5/31/2018,6:03:34 PM,3197.13,3579.68,4916.62,5120.95,0.01,0.02,0.01,0.02,
5/31/2018,6:03:36 PM,3371.26,3571.90,4925.95,5114.92,0.01,0.03,0.01,0.02,
5/31/2018,6:03:37 PM,3242.45,3500.25,4929.95,5102.32,0.01,0.02,0.02,0.02,
5/31/2018,6:03:38 PM,3285.58,3454.53,4927.86,5111.16,0.01,0.03,0.02,0.02,
5/31/2018,6:03:39 PM,3307.63,3550.94,4932.88,5107.11,0.01,0.02,0.01,0.02,
5/31/2018,6:03:40 PM,3195.42,3525.16,4939.65,5098.83,0.01,0.02,0.01,0.02,
5/31/2018,6:03:42 PM,3208.88,3534.92,4944.23,5101.97,0.01,0.02,0.01,0.02,
5/31/2018,6:03:43 PM,3290.61,3447.21,4932.67,5117.73,0.01,0.02,0.02,0.02,
5/31/2018,6:03:44 PM,3273.14,3429.59,4927.27,5123.96,0.01,0.02,0.02,0.01,
5/31/2018,6:03:45 PM,3281.60,3535.48,4955.82,5095.30,0.01,0.02,0.01,0.02,
5/31/2018,6:03:46 PM,3175.22,3571.29,4935.24,5126.21,0.01,0.02,0.01,0.02,
5/31/2018,6:03:47 PM,3268.30,3390.95,4924.13,5130.78,0.01,0.02,0.03,0.01,
5/31/2018,6:03:48 PM,3162.38,3415.34,4937.00,5126.84,0.01,0.02,0.02,0.01,
5/31/2018,6:03:49 PM,3201.08,3498.72,4939.93,5111.36,0.01,0.02,0.01,0.02,
5/31/2018,6:03:50 PM,3224.43,3411.01,4952.67,5107.52,0.01,0.02,0.02,0.01,
5/31/2018,6:03:51 PM,3167.64,3597.28,4939.63,5094.09,0.01,0.03,0.01,0.02,
5/31/2018,6:03:52 PM,3316.34,3513.68,4934.14,5097.36,0.01,0.03,0.01,0.02,
5/31/2018,6:03:54 PM,3256.80,3466.78,4917.44,5112.51,0.01,0.02,0.02,0.02,
5/31/2018,6:03:55 PM,3322.25,3436.10,4923.21,5105.35,0.01,0.03,0.03,0.02,
5/31/2018,6:03:56 PM,3244.40,3587.20,4928.00,5108.53,0.01,0.02,0.01,0.02,
5/31/2018,6:03:57 PM,3242.90,3508.73,4927.08,5089.86,0.01,0.02,0.01,0.02,
5/31/2018,6:03:58 PM,3284.52,3546.03,4914.34,5118.61,0.01,0.02,0.01,0.02,
5/31/2018,6:03:59 PM,3244.01,3450.21,4926.64,5110.76,0.01,0.03,0.02,0.02,
5/31/2018,6:04:00 PM,3256.41,3456.36,4913.39,5115.65,0.01,0.02,0.01,0.02,
5/31/2018,6:04:01 PM,3311.25,3425.27,4930.39,5122.43,0.01,0.02,0.02,0.01,
5/31/2018,6:04:02 PM,3178.39,3540.70,4941.52,5109.93,0.01,0.03,0.01,0.02,
5/31/2018,6:04:04 PM,3192.50,3438.92,4950.89,5068.19,0.01,0.03,0.03,0.02,
5/31/2018,6:04:05 PM,3292.59,3480.99,4944.54,5076.69,0.01,0.02,0.02,0.02,
5/31/2018,6:04:06 PM,3265.02,3500.98,4925.63,5099.99,0.01,0.02,0.01,0.02,
5/31/2018,6:04:07 PM,3348.45,3449.64,4915.66,5128.37,0.01,0.02,0.02,0.01,
5/31/2018,6:04:08 PM,3231.52,3483.16,4919.03,5130.23,0.01,0.03,0.02,0.02,
5/31/2018,6:04:09 PM,3270.27,3443.28,4918.75,5122.65,0.01,0.02,0.02,0.01,
5/31/2018,6:04:10 PM,3158.00,3466.12,4921.83,5102.73,0.01,0.02,0.02,0.02,
5/31/2018,6:04:11 PM,3326.99,3407.28,4925.37,5125.22,0.01,0.02,0.01,0.01,
5/31/2018,6:04:13 PM,3253.64,3495.76,4906.72,5137.89,0.01,0.02,0.02,0.02,
5/31/2018,6:04:14 PM,3206.97,3468.20,4916.60,5103.79,0.01,0.02,0.02,0.02,
5/31/2018,6:04:15 PM,3213.59,3566.72,4927.15,5091.51,0.01,0.02,0.01,0.02,
5/31/2018,6:04:16 PM,3205.40,3409.18,4930.71,5120.49,0.01,0.02,0.04,0.02,
5/31/2018,6:04:17 PM,3211.37,3497.86,4931.71,5107.06,0.01,0.02,0.01,0.02,
5/31/2018,6:04:19 PM,3312.91,3623.31,4934.73,5108.99,0.01,0.02,0.01,0.02,
5/31/2018,6:04:20 PM,3260.17,3529.04,4935.93,5100.20,0.01,0.02,0.01,0.02,
5/31/2018,6:04:21 PM,3255.84,3551.71,4930.01,5113.13,0.01,0.02,0.01,0.02,
5/31/2018,6:04:22 PM,3239.93,3488.69,4940.67,5105.47,0.01,0.02,0.01,0.02,
5/31/2018,6:04:23 PM,3271.61,3374.98,4934.44,5097.99,0.01,0.02,0.09,0.01,
5/31/2018,6:04:24 PM,3296.51,3488.78,4932.53,5107.50,0.01,0.02,0.02,0.02,
5/31/2018,6:04:25 PM,3058.48,3570.38,4948.78,5108.16,0.01,0.02,0.01,0.02,
5/31/2018,6:04:26 PM,3233.70,3497.20,4936.68,5101.69,0.01,0.02,0.01,0.02,
5/31/2018,6:04:27 PM,3154.09,3406.53,4928.76,5105.32,0.01,0.02,0.03,0.01,
5/31/2018,6:04:28 PM,3314.52,3505.41,4943.32,5094.14,0.01,0.02,0.02,0.02,
5/31/2018,6:04:30 PM,3217.99,3484.16,4925.48,5124.27,0.01,0.02,0.01,0.02,
5/31/2018,6:04:31 PM,3102.62,3336.54,4937.46,5117.58,0.01,0.02,0.08,0.02,
5/31/2018,6:04:32 PM,3248.20,3447.10,4919.94,5117.93,0.01,0.02,0.02,0.02,
5/31/2018,6:04:33 PM,3273.13,3429.28,4946.92,5107.96,0.01,0.03,0.02,0.02,
5/31/2018,6:04:34 PM,3343.70,3453.55,4935.93,5102.20,0.01,0.02,0.02,0.02,
5/31/2018,6:04:35 PM,3283.85,3460.68,4934.99,5114.86,0.01,0.02,0.02,0.01,
5/31/2018,6:04:36 PM,3124.61,3431.34,4936.97,5097.57,0.01,0.02,0.03,0.02,
5/31/2018,6:04:37 PM,3207.95,3494.31,4934.83,5106.23,0.01,0.02,0.01,0.02,
5/31/2018,6:04:39 PM,3248.15,3491.97,4935.14,5110.12,0.01,0.02,0.01,0.02,
5/31/2018,6:04:40 PM,3166.48,3482.40,4948.37,5095.45,0.01,0.02,0.03,0.02,
5/31/2018,6:04:41 PM,3251.99,3523.45,4945.68,5106.00,0.01,0.03,0.01,0.02,
5/31/2018,6:04:42 PM,3225.86,3569.65,4944.02,5100.40,0.01,0.02,0.01,0.02,
5/31/2018,6:04:43 PM,3280.23,3380.43,4929.94,5107.25,0.01,0.02,0.04,0.01,
5/31/2018,6:04:44 PM,3253.01,3525.09,4939.59,5098.59,0.01,0.02,0.01,0.02,
5/31/2018,6:04:45 PM,3268.32,3503.34,4939.92,5112.75,0.01,0.02,0.01,0.02,
5/31/2018,6:04:46 PM,3217.55,3542.98,4938.42,5084.58,0.01,0.02,0.01,0.02,
5/31/2018,6:04:47 PM,3328.77,3393.91,4932.08,5109.64,0.01,0.02,0.03,0.02,
5/31/2018,6:04:49 PM,3220.07,3605.66,4930.11,5095.45,0.01,0.02,0.01,0.02,
5/31/2018,6:04:50 PM,3243.93,3407.50,4928.39,5124.69,0.01,0.02,0.02,0.01,
5/31/2018,6:04:51 PM,3330.93,3513.34,4922.06,5106.82,0.01,0.02,0.01,0.02,
5/31/2018,6:04:52 PM,3312.06,3527.39,4935.76,5093.08,0.01,0.02,0.01,0.02,
5/31/2018,6:04:53 PM,3227.75,3538.64,4937.20,5105.01,0.01,0.03,0.01,0.02,
5/31/2018,6:04:54 PM,3247.18,3456.00,4935.70,5109.59,0.01,0.02,0.02,0.01,
5/31/2018,6:04:55 PM,3219.99,3427.11,4952.14,5116.75,0.01,0.02,0.02,0.01,
5/31/2018,6:04:56 PM,3291.65,3500.92,4936.60,5101.44,0.01,0.02,0.02,0.02,
