

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,5:24:55 PM,3247.36,3456.86,4864.26,5356.37,0.01,0.02,0.02,0.02,
5/31/2018,5:24:56 PM,3375.77,3543.56,4876.31,5335.08,0.01,0.03,0.01,0.02,
5/31/2018,5:24:57 PM,3344.58,3536.83,4868.68,5338.93,0.01,0.03,0.01,0.02,
5/31/2018,5:24:58 PM,3307.85,3557.16,4864.75,5344.37,0.01,0.02,0.01,0.02,
5/31/2018,5:24:59 PM,3326.72,3484.78,4871.57,5338.52,0.01,0.03,0.02,0.02,
5/31/2018,5:25:00 PM,3258.70,3538.45,4874.48,5343.75,0.01,0.03,0.02,0.02,
5/31/2018,5:25:01 PM,3218.65,3537.17,4871.69,5330.18,0.01,0.02,0.02,0.02,
5/31/2018,5:25:02 PM,3257.57,3591.94,4864.60,5324.84,0.01,0.02,0.01,0.03,
5/31/2018,5:25:03 PM,3187.73,3615.20,4868.08,5336.99,0.01,0.03,0.01,0.03,
5/31/2018,5:25:05 PM,3250.38,3547.03,4851.54,5332.97,0.01,0.02,0.01,0.03,
5/31/2018,5:25:06 PM,3240.01,3515.68,4862.09,5341.08,0.01,0.02,0.02,0.02,
5/31/2018,5:25:07 PM,3321.23,3486.80,4861.27,5330.85,0.01,0.02,0.02,0.02,
5/31/2018,5:25:08 PM,3248.22,3490.99,4863.92,5345.67,0.01,0.02,0.01,0.02,
5/31/2018,5:25:09 PM,3248.82,3535.30,4865.47,5336.12,0.01,0.02,0.01,0.02,
5/31/2018,5:25:10 PM,3266.42,3530.21,4878.85,5322.71,0.01,0.02,0.02,0.02,
5/31/2018,5:25:11 PM,3291.70,3462.20,4860.48,5321.28,0.01,0.02,0.02,0.02,
5/31/2018,5:25:12 PM,3289.96,3516.06,4876.17,5327.07,0.01,0.02,0.02,0.02,
5/31/2018,5:25:13 PM,3266.46,3588.53,4872.65,5337.20,0.01,0.02,0.01,0.03,
5/31/2018,5:25:14 PM,3345.48,3519.97,4861.61,5353.43,0.01,0.02,0.02,0.02,
5/31/2018,5:25:15 PM,3342.93,3567.40,4864.53,5342.47,0.01,0.03,0.01,0.03,
5/31/2018,5:25:16 PM,3304.84,3448.30,4867.99,5349.61,0.02,0.03,0.03,0.02,
5/31/2018,5:25:17 PM,3377.10,3498.82,4881.52,5327.84,0.01,0.03,0.02,0.02,
5/31/2018,5:25:18 PM,3129.14,3518.48,4877.55,5315.07,0.01,0.02,0.02,0.02,
5/31/2018,5:25:19 PM,3358.55,3589.14,4869.48,5328.67,0.01,0.02,0.01,0.02,
5/31/2018,5:25:21 PM,3262.99,3569.68,4861.49,5326.22,0.01,0.02,0.01,0.03,
5/31/2018,5:25:22 PM,3244.17,3420.37,4860.27,5349.91,0.01,0.03,0.03,0.02,
5/31/2018,5:25:23 PM,3334.94,3517.05,4869.33,5339.81,0.01,0.02,0.02,0.02,
5/31/2018,5:25:24 PM,3216.65,3531.09,4863.95,5334.54,0.01,0.02,0.02,0.02,
5/31/2018,5:25:25 PM,3297.83,3488.51,4865.63,5350.10,0.01,0.02,0.02,0.02,
5/31/2018,5:25:26 PM,3248.43,3531.49,4877.36,5327.93,0.01,0.02,0.01,0.02,
5/31/2018,5:25:27 PM,3238.43,3502.02,4861.08,5325.79,0.01,0.02,0.02,0.02,
5/31/2018,5:25:28 PM,3299.40,3601.66,4867.51,5317.77,0.01,0.03,0.01,0.02,
5/31/2018,5:25:30 PM,3263.07,3538.34,4858.14,5317.98,0.01,0.02,0.02,0.02,
5/31/2018,5:25:31 PM,3219.42,3490.97,4861.30,5338.66,0.01,0.02,0.02,0.02,
5/31/2018,5:25:32 PM,3315.05,3473.40,4861.27,5343.51,0.01,0.03,0.02,0.02,
5/31/2018,5:25:33 PM,3294.53,3565.66,4865.83,5327.45,0.01,0.02,0.01,0.02,
5/31/2018,5:25:34 PM,3317.33,3381.44,4866.79,5347.89,0.01,0.02,0.07,0.02,
5/31/2018,5:25:35 PM,3364.60,3534.16,4860.14,5340.68,0.01,0.03,0.02,0.02,
5/31/2018,5:25:36 PM,3216.37,3491.86,4872.78,5342.85,0.01,0.02,0.02,0.02,
5/31/2018,5:25:37 PM,3284.98,3460.81,4875.61,5349.07,0.01,0.03,0.02,0.02,
5/31/2018,5:25:39 PM,3254.56,3469.59,4852.65,5352.66,0.01,0.02,0.02,0.02,
5/31/2018,5:25:40 PM,3288.11,3512.39,4874.51,5338.57,0.01,0.03,0.02,0.03,
5/31/2018,5:25:41 PM,3155.43,3515.25,4864.33,5323.05,0.01,0.02,0.01,0.02,
5/31/2018,5:25:42 PM,3332.46,3602.81,4864.78,5326.85,0.01,0.02,0.01,0.03,
