

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,6:44:30 PM,3284.50,3449.49,5000.66,5008.50,0.01,0.02,0.03,0.01,
5/31/2018,6:44:31 PM,3224.18,3580.13,4997.94,4983.88,0.01,0.02,0.01,0.02,
5/31/2018,6:44:32 PM,3141.93,3512.15,4999.73,4976.92,0.01,0.02,0.02,0.02,
5/31/2018,6:44:33 PM,3229.78,3546.11,5006.02,4987.85,0.01,0.02,0.01,0.02,
5/31/2018,6:44:34 PM,3197.33,3439.52,4998.96,4995.88,0.01,0.02,0.01,0.02,
5/31/2018,6:44:35 PM,3202.28,3408.66,4995.99,5007.76,0.01,0.02,0.05,0.01,
5/31/2018,6:44:36 PM,3238.16,3482.54,5011.76,4968.36,0.01,0.02,0.02,0.02,
5/31/2018,6:44:37 PM,3280.55,3494.81,5011.21,4981.80,0.01,0.02,0.01,0.02,
5/31/2018,6:44:38 PM,3328.24,3498.42,5008.59,4988.90,0.01,0.02,0.01,0.02,
5/31/2018,6:44:40 PM,3210.38,3487.48,5019.40,4974.54,0.01,0.02,0.02,0.02,
5/31/2018,6:44:41 PM,3160.38,3428.50,5001.79,4988.18,0.01,0.02,0.03,0.01,
5/31/2018,6:44:42 PM,3296.45,3482.28,4994.70,4994.86,0.01,0.03,0.02,0.02,
5/31/2018,6:44:43 PM,3176.21,3512.86,4995.67,4994.63,0.01,0.02,0.01,0.02,
5/31/2018,6:44:44 PM,3229.91,3426.27,4989.10,4999.84,0.01,0.02,0.02,0.01,
5/31/2018,6:44:45 PM,3227.71,3372.50,4989.66,5003.54,0.01,0.02,0.03,0.01,
5/31/2018,6:44:46 PM,3235.95,3476.42,4986.90,4982.59,0.01,0.02,0.03,0.02,
