

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,4:09:57 PM,3786.89,3692.54,0.04,0.03,0.05,0.03,
5/31/2018,4:09:58 PM,3176.85,3903.55,0.07,0.02,0.06,0.04,
5/31/2018,4:09:59 PM,3397.32,3832.90,0.06,0.02,0.06,0.04,
5/31/2018,4:10:00 PM,3229.91,3652.41,0.09,0.02,0.09,0.03,
5/31/2018,4:10:01 PM,3304.31,3564.88,0.08,0.01,0.17,0.03,
5/31/2018,4:10:02 PM,3759.18,4101.09,0.03,0.02,0.03,0.06,
5/31/2018,4:10:03 PM,3810.25,4081.26,0.03,0.03,0.05,0.04,
5/31/2018,4:10:04 PM,3418.30,3602.65,0.04,0.03,0.12,0.03,
5/31/2018,4:10:05 PM,3435.58,3527.38,0.04,0.02,0.11,0.03,
5/31/2018,4:10:06 PM,3644.87,3731.77,0.03,0.02,0.06,0.04,
5/31/2018,4:10:07 PM,3675.02,3777.79,0.03,0.03,0.12,0.04,
5/31/2018,4:10:08 PM,3571.78,3816.82,0.04,0.02,0.08,0.04,
5/31/2018,4:10:09 PM,3542.76,3684.32,0.06,0.02,0.14,0.04,
5/31/2018,4:10:10 PM,3822.87,4212.22,0.02,0.02,0.03,0.05,
5/31/2018,4:10:11 PM,3211.87,3509.59,0.08,0.02,0.28,0.03,
5/31/2018,4:10:12 PM,3439.57,3587.84,0.04,0.02,0.16,0.03,
5/31/2018,4:10:13 PM,3558.15,3997.17,0.06,0.03,0.02,0.06,
5/31/2018,4:10:14 PM,3897.02,3536.80,0.03,0.03,0.08,0.02,
5/31/2018,4:10:15 PM,3716.05,3806.32,0.02,0.03,0.03,0.04,
5/31/2018,4:10:16 PM,3283.51,3732.13,0.09,0.02,0.06,0.04,
5/31/2018,4:10:17 PM,3522.46,3990.79,0.04,0.02,0.04,0.05,
5/31/2018,4:10:18 PM,3430.42,3735.00,0.05,0.03,0.11,0.03,
5/31/2018,4:10:19 PM,3200.65,3343.44,0.09,0.02,0.08,0.02,
5/31/2018,4:10:20 PM,4161.32,3983.60,0.02,0.03,0.04,0.04,
5/31/2018,4:10:21 PM,3443.70,3667.37,0.07,0.02,0.13,0.03,
5/31/2018,4:10:22 PM,3482.87,3942.84,0.06,0.02,0.05,0.05,
5/31/2018,4:10:23 PM,3403.33,3948.38,0.06,0.03,0.03,0.04,
5/31/2018,4:10:24 PM,3531.76,4086.21,0.05,0.03,0.04,0.05,
5/31/2018,4:10:25 PM,3469.05,3611.34,0.04,0.02,0.44,0.03,
5/31/2018,4:10:26 PM,3184.14,4015.74,0.07,0.03,0.04,0.05,
5/31/2018,4:10:27 PM,3190.57,3861.18,0.04,0.02,0.06,0.05,
5/31/2018,4:10:28 PM,3653.29,3733.32,0.04,0.03,0.12,0.03,
5/31/2018,4:10:29 PM,3312.08,3884.51,0.07,0.02,0.05,0.04,
5/31/2018,4:10:30 PM,3214.20,3802.08,0.06,0.02,0.06,0.05,
5/31/2018,4:10:31 PM,3666.84,3967.47,0.03,0.02,0.07,0.04,
5/31/2018,4:10:32 PM,4400.13,4018.54,0.01,0.03,0.03,0.05,
5/31/2018,4:10:33 PM,3471.69,3606.94,0.05,0.02,0.44,0.03,
5/31/2018,4:10:34 PM,3668.86,3615.40,0.03,0.03,0.04,0.04,
5/31/2018,4:10:35 PM,3513.12,3652.39,0.04,0.02,0.15,0.03,
5/31/2018,4:10:36 PM,3513.63,4189.94,0.05,0.02,0.04,0.05,
5/31/2018,4:10:37 PM,3605.67,3755.55,0.03,0.02,0.06,0.04,
5/31/2018,4:10:38 PM,3610.40,3628.78,0.04,0.04,0.11,0.04,
5/31/2018,4:10:39 PM,3834.24,3880.83,0.03,0.03,0.05,0.04,
5/31/2018,4:10:40 PM,3328.86,3250.25,0.05,0.03,0.06,0.02,
5/31/2018,4:10:41 PM,3660.98,3622.57,0.03,0.02,0.11,0.03,
5/31/2018,4:10:42 PM,3456.40,3485.83,0.08,0.02,0.13,0.02,
5/31/2018,4:10:43 PM,3614.43,3436.13,0.05,0.03,0.06,0.02,
5/31/2018,4:10:44 PM,4083.17,3979.42,0.02,0.04,0.07,0.04,
5/31/2018,4:10:45 PM,3521.37,3540.79,0.04,0.03,0.24,0.03,
5/31/2018,4:10:46 PM,3329.48,3860.46,0.07,0.02,0.05,0.05,
